airport,time,count
KATL,0.001944,1.5
KCLE,0.001944,0.5
KCLT,0.001944,0.5
KDCA,0.001944,0.7
KDEN,0.001944,0.2
KDFW,0.001944,1.7
KDTW,0.001944,2.0
KELP,0.001944,0.5
KEWR,0.001944,0.5
KFLL,0.001944,0.8
KHOU,0.001944,0.3
KIAD,0.001944,0.3
KIAH,0.001944,0.6
KJFK,0.001944,1.3
KLAX,0.001944,1.3
KLGA,0.001944,0.5
KLIT,0.001944,0.7
KMDW,0.001944,0.5
KMEM,0.001944,0.2
KMIA,0.001944,0.5
KMSP,0.001944,1.0
KORD,0.001944,0.8
KPDX,0.001944,0.2
KPHL,0.001944,1.1
KRSW,0.001944,0.2
KSAN,0.001944,0.3
KSDF,0.001944,0.5
KSEA,0.001944,0.3
KSFO,0.001944,0.8
KSJC,0.001944,0.2
KSNA,0.001944,0.3
KSTL,0.001944,0.3
KTPA,0.001944,0.3
KABQ,0.018611,0.2
KATL,0.018611,2.0
KBNA,0.018611,0.4
KBOS,0.018611,0.3
KBWI,0.018611,0.2
KCID,0.018611,0.7
KCLT,0.018611,0.5
KDCA,0.018611,0.5
KDFW,0.018611,0.7
KDTW,0.018611,0.7
KEWR,0.018611,1.2
KIAD,0.018611,0.5
KIAH,0.018611,0.5
KLAX,0.018611,1.2
KLGA,0.018611,0.7
KMCO,0.018611,0.5
KMDW,0.018611,0.5
KMIA,0.018611,0.7
KMSP,0.018611,1.8
KMSY,0.018611,0.3
KORD,0.018611,1.2
KPDX,0.018611,0.3
KPHL,0.018611,0.3
KPHX,0.018611,1.0
KRSW,0.018611,0.6
KSAN,0.018611,0.5
KSFO,0.018611,0.2
KSTL,0.018611,1.5
KTPA,0.018611,0.7
KTUS,0.018611,0.5
KATL,0.035278,2.3
KBNA,0.035278,0.5
KBOS,0.035278,0.5
KBWI,0.035278,0.3
KCLT,0.035278,0.5
KCMH,0.035278,0.5
KCOS,0.035278,0.3
KDCA,0.035278,1.0
KDEN,0.035278,0.9
KDFW,0.035278,2.2
KDTW,0.035278,1.2
KIAH,0.035278,0.2
KJFK,0.035278,1.3
KLAX,0.035278,0.5
KLGA,0.035278,0.8
KMCI,0.035278,0.3
KMDW,0.035278,0.5
KMSP,0.035278,0.5
KMSY,0.035278,0.2
KOAK,0.035278,0.3
KORD,0.035278,1.2
KPDX,0.035278,0.8
KPHL,0.035278,0.2
KPHX,0.035278,0.8
KSFO,0.035278,0.8
KSMF,0.035278,0.2
KATL,0.051944,1.5
KBOS,0.051944,0.5
KCLT,0.051944,0.7
KCVG,0.051944,0.2
KDCA,0.051944,0.5
KDEN,0.051944,1.1
KDFW,0.051944,1.0
KDTW,0.051944,1.3
KEWR,0.051944,1.2
KHOU,0.051944,0.3
KIAH,0.051944,0.5
KJFK,0.051944,0.2
KLAX,0.051944,0.7
KMCI,0.051944,0.7
KMDW,0.051944,0.7
KMIA,0.051944,1.7
KMSP,0.051944,0.8
KMSY,0.051944,0.5
KORD,0.051944,1.1
KPHL,0.051944,1.3
KPHX,0.051944,0.5
KRDU,0.051944,0.5
KRSW,0.051944,0.4
KSDF,0.051944,0.2
KSEA,0.051944,0.2
KSJC,0.051944,0.5
KSMF,0.051944,0.3
KSTL,0.051944,1.0
KATL,0.068611,1.0
KBNA,0.068611,0.2
KBOS,0.068611,0.6
KCLE,0.068611,0.7
KDCA,0.068611,0.5
KDEN,0.068611,2.0
KDFW,0.068611,0.7
KDTW,0.068611,0.5
KEWR,0.068611,0.3
KFLL,0.068611,0.3
KIAD,0.068611,0.8
KIAH,0.068611,0.7
KJFK,0.068611,1.0
KLAX,0.068611,0.6
KLGA,0.068611,1.0
KMCO,0.068611,0.2
KMEM,0.068611,0.5
KMIA,0.068611,0.2
KMKE,0.068611,0.2
KMSP,0.068611,1.4
KOAK,0.068611,0.3
KORD,0.068611,1.3
KPDX,0.068611,0.3
KPHL,0.068611,0.3
KPHX,0.068611,0.2
KRSW,0.068611,1.0
KSEA,0.068611,0.5
KSFO,0.068611,1.1
KSJC,0.068611,0.3
KSTL,0.068611,0.8
KATL,0.085278,2.7
KBNA,0.085278,0.6
KBOS,0.085278,0.7
KCLT,0.085278,0.2
KDEN,0.085278,0.3
KDFW,0.085278,0.7
KDSM,0.085278,0.3
KDTW,0.085278,1.7
KEWR,0.085278,0.7
KIAH,0.085278,0.5
KJFK,0.085278,0.5
KLAX,0.085278,1.0
KLGA,0.085278,0.2
KMCI,0.085278,0.5
KMCO,0.085278,0.8
KMEM,0.085278,0.5
KMIA,0.085278,1.0
KMKE,0.085278,0.2
KMSP,0.085278,0.9
KORD,0.085278,1.5
KPHL,0.085278,0.8
KPHX,0.085278,0.7
KRDU,0.085278,0.5
KSAN,0.085278,0.5
KSDF,0.085278,0.3
KSEA,0.085278,0.5
KSFO,0.085278,1.0
KSNA,0.085278,0.2
KSTL,0.085278,0.2
KTPA,0.085278,0.5
KTUS,0.085278,0.3
KABQ,0.101944,0.5
KATL,0.101944,0.9
KBOS,0.101944,0.3
KCLE,0.101944,0.2
KCLT,0.101944,0.5
KDCA,0.101944,0.5
KDEN,0.101944,0.7
KDFW,0.101944,1.7
KDSM,0.101944,0.2
KDTW,0.101944,1.1
