airport,time,count
KABQ,0.001944,0.5
KATL,0.001944,1.4
KBUR,0.001944,0.5
KBWI,0.001944,0.5
KCMH,0.001944,0.2
KCVG,0.001944,0.3
KDAL,0.001944,0.3
KDEN,0.001944,2.0
KDFW,0.001944,0.6
KDTW,0.001944,0.9
KEWR,0.001944,0.5
KFLL,0.001944,0.3
KIAD,0.001944,0.2
KIAH,0.001944,1.0
KIND,0.001944,0.2
KLAX,0.001944,0.5
KLGA,0.001944,0.2
KMCO,0.001944,0.8
KMDW,0.001944,0.3
KMSY,0.001944,0.5
KOKC,0.001944,0.2
KORD,0.001944,0.8
KPHL,0.001944,0.7
KPHX,0.001944,0.5
KRDU,0.001944,0.5
KRSW,0.001944,0.5
KSFO,0.001944,0.3
KSTL,0.001944,0.5
KTUS,0.001944,0.5
KATL,0.018611,1.9
KBOS,0.018611,0.8
KBWI,0.018611,1.0
KCLT,0.018611,0.5
KCVG,0.018611,1.0
KDAL,0.018611,0.5
KDCA,0.018611,0.7
KDEN,0.018611,1.5
KDFW,0.018611,1.0
KDTW,0.018611,1.0
KEWR,0.018611,0.3
KIAH,0.018611,2.0
KLGA,0.018611,0.8
KLGB,0.018611,0.3
KMDW,0.018611,0.8
KMIA,0.018611,0.2
KMKE,0.018611,0.5
KMSP,0.018611,0.5
KMSY,0.018611,0.3
KORD,0.018611,0.5
KPHL,0.018611,1.0
KPHX,0.018611,0.5
KRDU,0.018611,0.2
KSAN,0.018611,0.4
KSEA,0.018611,1.0
KSFO,0.018611,0.2
KSJC,0.018611,0.5
KSMF,0.018611,0.5
KSTL,0.018611,0.3
KTPA,0.018611,0.2
KABQ,0.035278,0.7
KATL,0.035278,1.0
KBNA,0.035278,0.2
KBOS,0.035278,1.3
KCID,0.035278,0.5
KCLT,0.035278,0.5
KCOS,0.035278,0.2
KCVG,0.035278,0.2
KDCA,0.035278,0.8
KDEN,0.035278,1.2
KDFW,0.035278,0.8
KDTW,0.035278,1.0
KELP,0.035278,0.3
KEWR,0.035278,0.8
KFLL,0.035278,1.0
KIAH,0.035278,1.1
KJFK,0.035278,0.5
KLAX,0.035278,1.6
KMCI,0.035278,0.5
KMCO,0.035278,1.0
KMDW,0.035278,0.5
KMEM,0.035278,0.5
KORD,0.035278,0.9
KPDX,0.035278,0.5
KPHL,0.035278,0.8
KPHX,0.035278,0.2
KRDU,0.035278,0.2
KSEA,0.035278,0.7
KSFO,0.035278,0.7
KSLC,0.035278,0.5
KSMF,0.035278,0.2
KSTL,0.035278,0.5
KTPA,0.035278,0.3
KTUL,0.035278,0.2
KTUS,0.035278,0.3
KXNA,0.035278,0.5
KATL,0.051944,1.6
KBOS,0.051944,0.5
KBWI,0.051944,0.7
KCID,0.051944,0.5
KCLT,0.051944,0.3
KCVG,0.051944,0.3
KDAL,0.051944,0.5
KDCA,0.051944,0.3
KDEN,0.051944,1.5
KDFW,0.051944,2.2
KDTW,0.051944,1.0
KEWR,0.051944,1.0
KFLL,0.051944,0.5
KIAD,0.051944,0.7
KIAH,0.051944,2.0
KJFK,0.051944,0.3
KLAX,0.051944,0.5
KLGA,0.051944,0.9
KLGB,0.051944,0.2
KMCO,0.051944,0.2
KMIA,0.051944,0.8
KMSP,0.051944,1.0
KORD,0.051944,0.7
KPDX,0.051944,1.3
KPHL,0.051944,1.3
KPHX,0.051944,1.0
KRDU,0.051944,0.2
KSEA,0.051944,0.7
KSFO,0.051944,0.8
KSJC,0.051944,0.6
KXNA,0.051944,0.2
KATL,0.068611,1.8
KBOS,0.068611,0.3
KBUR,0.068611,0.6
KBWI,0.068611,0.3
KCID,0.068611,0.3
KCLE,0.068611,0.3
KCMH,0.068611,0.3
KDAL,0.068611,0.3
KDCA,0.068611,0.2
KDEN,0.068611,2.1
KDFW,0.068611,0.5
KDTW,0.068611,1.7
KEWR,0.068611,0.3
KFLL,0.068611,0.5
KHOU,0.068611,0.2
KIAH,0.068611,1.8
KIND,0.068611,0.3
KJFK,0.068611,0.3
KLAX,0.068611,0.2
KMCO,0.068611,1.0
KMIA,0.068611,0.3
KMKE,0.068611,0.5
KMSP,0.068611,1.3
KOKC,0.068611,0.3
KORD,0.068611,1.6
KPBI,0.068611,0.2
KPDX,0.068611,0.5
KPHX,0.068611,0.3
KRDU,0.068611,0.3
KSAN,0.068611,0.2
KSDF,0.068611,0.2
KSEA,0.068611,0.5
KSFO,0.068611,0.5
KSJC,0.068611,0.5
KSLC,0.068611,0.3
KSNA,0.068611,0.2
KXNA,0.068611,0.2
KATL,0.085278,2.0
KBOS,0.085278,0.5
KBUR,0.085278,0.5
KBWI,0.085278,0.5
KCLE,0.085278,0.5
KDAL,0.085278,0.5
KDCA,0.085278,0.8
KDEN,0.085278,0.9
KDFW,0.085278,1.8
KDTW,0.085278,0.8
KEWR,0.085278,1.5
KFAT,0.085278,0.5
KFLL,0.085278,0.5
KIAD,0.085278,0.2
KIAH,0.085278,1.8
KJFK,0.085278,0.3
KLAX,0.085278,0.7
KLGA,0.085278,1.3
KMCO,0.085278,0.3
KMDW,0.085278,0.3
KMIA,0.085278,0.5
KMKE,0.085278,0.5
KMSP,0.085278,0.8
