FlightId,Ordinal,LatitudeDegrees,LongitudeDegrees,AltitudeFeet,AirspeedKnots
308567953,1,31.28000069,-99.62999725,37000.0,530.0
308567953,2,31.17275647,-99.33015808,39000.0,529.973
308567953,3,30.91446712,-98.69818599,39000.0,527.597
308567953,4,30.46378908,-97.49836258,9000.0,527.327
308567953,5,30.1487005,-96.48773554,7000.0,530.243
308567953,6,29.72290241,-95.72722576,3000.0,532.403
308567953,7,29.6423693,-95.44658791,5000.0,530.0
308567953,8,29.43719817,-94.75691252,3000.0,530.0
308567953,9,29.22759146,-94.2366675,3000.0,530.0
308567955,1,36.27999878,-89.90000153,31000.0,530.0
308567955,2,36.63277827,-88.85778403,41000.0,537.506
308567955,3,38.21165051,-81.42505993,41000.0,532.457
308567955,4,38.4102225,-80.40763751,9000.0,532.349
308567955,5,38.67830312,-78.7650491,9000.0,534.644
308567955,6,38.89177814,-77.98462677,3000.0,530.0
308567955,7,38.87370334,-77.38753275,3000.0,530.0
308567955,8,39.05109165,-76.84970674,3000.0,530.0
308567955,9,39.15299616,-76.23821824,3000.0,530.0
308567956,1,32.40000153,-101.9300003,35000.0,530.0
308567956,2,32.2603231,-101.5186743,41000.0,503.435
308567956,3,31.29574245,-98.86434765,41000.0,501.194
308567956,4,30.86697861,-97.72379067,9000.0,502.397
308567956,5,30.49312415,-96.55572803,7000.0,504.719
308567956,6,30.19081682,-95.86594767,3000.0,530.0
308567956,7,30.05769904,-95.42660151,3000.0,527.327
308567956,8,29.77536173,-94.81790628,3000.0,530.0
308567956,9,29.56491253,-94.29667219,3000.0,530.0
308567975,1,34.68000031,-112.6200027,38000.0,530.0
308567975,2,34.55530735,-113.7237328,40000.0,529.811
308567975,3,34.45788428,-114.5386826,40000.0,525.086
308567975,4,34.3840668,-114.9284546,8000.0,529.946
308567975,5,34.22860603,-115.6954048,8000.0,529.946
308567975,6,34.01538747,-117.0821661,2000.0,530.0
308567975,7,33.87418473,-118.3937543,2000.0,530.0
308567975,8,33.85503067,-118.9949697,2000.0,530.0
308567975,9,33.7659323,-119.5810221,2000.0,530.0
308567978,1,37.72999955,-98.23000335,41000.0,530.0
308567978,2,37.73066065,-98.22857997,37000.0,532.349
308567978,3,37.77484971,-98.13333174,39000.0,530.0
308567978,4,37.90659285,-97.76515974,9000.0,539.666
308567978,5,38.78369153,-95.89422144,9000.0,534.806
308567978,6,39.12088749,-95.41752857,3000.0,532.322
308567978,7,39.298,-94.714,3000.0,530.0
308567978,8,39.53163373,-94.16441153,3000.0,530.0
308567978,9,39.7632795,-93.6123721,3000.0,530.0
308568006,1,45.95000077,-119.4000015,38000.0,530.0
308568006,2,46.35957881,-120.2097593,14000.0,533.006
308568006,3,46.80778838,-121.0393172,12000.0,517.526
308568006,4,47.34199777,-122.1319464,4000.0,521.72
